Year,S. No.,Train Number,From Station,Station To,Nature,Frequency
2018-19,35,18633/18634,Ranchi,Patna,AC Express,Weekly
2018-19,36,18639/18640,Ranchi,Ara,Express,Weekly
2018-19,37,18801/18802,Korba,Raipur,Express,Tri-Weekly
2018-19,38,18803/18804,Korba,Raipur,Hasdeo Express Mail Express,Tri-Weekly
2018-19,39,19003/19004,Bandra (Terminus),Bhusawal,Express,Weekly
2018-19,40,19043/19044,Bandra (Terminus),Bhagat Ki Kothi,Humsafar Express,Weekly
2018-19,41,19203/19204,Bhavnagar,Gandhidham,Express,Daily
2018-19,42,19315/19316,Indore,Lingampalli,Humsafar Express,Weekly
2018-19,43,19317/19318,Indore,Puri,Humsafar Express,Weekly
2018-19,44,19319/19320,Indore,Veraval,Mahamana Express,Weekly
2018-19,45,19333/19334,Indore,Bikaner,Mahamana Express,Weekly
2018-19,46,19335/19336,Indore,Gandhidham,Express,Weekly
2018-19,47,19337/19338,Indore,Delhi Sarai Rohilla,Express,Weekly
2018-19,48,19423/19424,Gandhidham,Tirunelveli,Humsafar Express,Weekly
2018-19,49,19603/19604,Ajmer,Rameswaram,Humsafar Express,Weekly
2018-19,50,19663/19664,Khajuraho,Indore,Express,4-Days a Week
2018-19,51,19669/19670,Udaipur City,Patliputra,Humsafar Express,Weekly
2018-19,52,20821/20822,Santragachi,Pune,Humsafar Express,Weekly
2018-19,53,20827/20828,Santragachi,Jabalpur,Humsafar Express,Weekly
2018-19,54,20905/20906,Vadodara,Rewa,Mahamana Express,Weekly
2018-19,55,22139/22140,Pune,Ajni,Humsafar Express,Weekly
2018-19,56,22169/22170,Habibganj,Santragachi,Humsafar Express,Weekly
2018-19,57,22171/22172,Habibganj,Pune,Humsafar Express,Weekly
2018-19,58,22221/22222,Mumbai Central,H.Nizamuddin,Rajdhani Express,Bi-Weekly
2018-19,59,22317/22318,Sealdah,Jammu Tawi,Humsafar Express,Weekly
2018-19,60,22353/22354,Patna,Banaswadi,Humsafar Express,Weekly
2018-19,61,22435/22436,New Delhi,Varanasi,Vande Bharat Express,5-Days a Week
2018-19,62,22437/22438,Allahabad,Anand Vihar(T),Humsafar Express,Tri-Weekly
2018-19,63,22551/22552,Darbhanga,Jalandhar City,Antyodaya Express,Weekly
2018-19,64,22657/22658,Tambaram,Nagercoil,Express,Tri-Weekly
2018-19,65,22665/22666,Bangalore,Coimbatore,UDAY Express,6-Days a Week
2018-19,66,22671/22672,Chennai Egmore,Madurai,Tejas Express,6-Days a Week
2018-19,67,22841/22842,Santragachi,Chennai Central,Antyodaya Express,Weekly
2018-19,68,22895/22896,Durg,Firozpur,Antyodaya Express,Weekly
2018-19,69,22923/22924,Bandra (Terminus),Jamnagar,Humsafar Express,Tri-Weekly
2018-19,70,22987/22988,Ajmer jn.,Agra fort,Express,Daily
2018-19,71,22997/22998,Jhalawar City,Sri Ganganagar,Express,Tri-Weekly
2018-19,72,51709/51710,Nainpur,Chiraidongri,Passenger,Daily
2018-19,73,51711/51712,Nainpur,Chiraidongri,Passenger,Daily
2018-19,74,51713/51714,Nainpur,Chiraidongri,Passenger,Daily
2018-19,75,55061/55062,Lucknow,Sitapur,Passenger,Daily
2018-19,76,55063/55064,Daliganj,Sitapur,Passenger,Daily
2018-19,77,55065/55066,Lucknow,Sitapur,Passenger,Daily
2018-19,78,55501/55502,Saharsa,Garh Baruari,Passenger,Daily
2018-19,79,55511/55512,Saharsa,Barahara Kothi,Passenger,Daily
2018-19,80,55585/55586,Raxaul,Narkatiaganj,Passenger,Daily
2018-19,81,55587/55588,Raxaul,Narkatiaganj,Passenger,Daily
2018-19,82,58119/58120,Itwari,Kelod,Passenger,Daily
2018-19,83,58121/58122,Itwari,Kelod,Passenger,Daily
2018-19,84,58305/58306,Balangir,Bhainsapalli,Passenger,Daily
2018-19,85,58307/58308,Balangir,Bhainsapalli,Passenger,Daily
2018-19,86,58819/58820,Gondia,Samnapur,Passenger,Daily
2018-19,87,61015/61016,Diva,Pen,MEMU,Daily
2018-19,88,61017/61018,Diva,Panvel,MEMU,Daily
2018-19,89,61019/61020,Diva,Pen,MEMU,Daily
2018-19,90,61021/61022,Diva,Vasai Road,MEMU,Daily
2018-19,91,61633/61634,Bhopal,Bina,MEMU,Daily
2018-19,92,63229/63230,Buxar,Varanasi,MEMU,Daily
2018-19,93,63297/63298,Varanasi,Ballia,MEMU,Daily
2018-19,94,66055/66056,Nellore,Chennai Moor Market Complex,MEMU,5-Days a Week
2018-19,95,69177/69178,Udhna,Nandurbar,MEMU,Daily
2018-19,96,69179/69180,Udhna,Paldhi,MEMU,Daily
2018-19,97,73041/73042,Katwa,Ahmedpur,DEMU,6-Days a Week
2018-19,98,74859/74860,Sikar,Churu,DEMU,Daily
2018-19,99,74861/74862,Sikar,Churu,DEMU,Daily
2018-19,100,75017/75018,Gonda,Bahraich,DEMU,Daily
2018-19,101,75019/75020,Gonda,Bahraich,DEMU,Daily
2018-19,102,75021/75022,Gonda,Bahraich,DEMU,Daily
2018-19,103,75215/75216,Sugauli,Patliputra,DEMU,Daily
2018-19,104,76901/76902,Bagalkot,Khajjidoni,DEMU,5-Days a Week
2018-19,105,78029/78030,Tatanagar,Badampahar,DEMU,6-Days a Week
2018-19,106,78031/78032,Tatanagar,Badampahar,DEMU,Daily
2018-19,107,78831/78832,Gondia,Samnapur,DEMU,Daily
2018-19,108,79601/79602,Ajmer,Jaipur,DEMU,6-Days a Week
2018-19,109,22139/22140,PUNE,AJNI,Humsafar Express,Weekly
